userId,movieId,note
49212,5266,3
100366,5507,5
4084,1095,9
38899,2396,9
10560,3087,6
10012,1370,6
54978,2395,9
114624,1617,9
133329,2424,6
15720,434,4
120948,3006,8
131651,1219,8
83275,919,9
51703,1597,9
4222,59315,8
43657,1358,7
116302,1961,6
128203,6711,7
95262,6537,7
134857,2407,7
47542,4321,5
116127,2391,7
78308,1573,1
61696,2616,7
13964,11,7
12618,733,6
14280,1288,3
32717,1997,7
76437,3752,4
125270,1527,7
49817,858,9
62375,2791,5
29575,2490,4
101165,2353,4
120572,5464,6
105040,32,7
49817,1387,8
51558,104,6
12239,589,2
19228,1234,9
96225,110,7
96225,1222,7
75469,6323,7
70379,1198,9
35227,485,5
128354,858,9
67283,1084,7
62762,2329,5
83823,5989,6
132747,1556,3
51199,5299,7
131484,3499,7
40008,6,7
113181,1610,7
97141,4855,9
40483,5378,3
133811,1573,9
75678,1556,3
5843,2701,4
80886,2455,7
122380,592,5
90525,377,7
104063,8644,6
72517,4370,7
131961,4643,0
23173,3717,3
128527,1580,7
67075,3081,2
52225,2,4
92516,3039,8
67346,2640,6
62340,50,9
768,4973,6
124460,2916,5
44882,1968,5
12490,2409,7
69662,260,8
123606,4973,7
49817,3052,5
119531,2000,5
107356,5952,9
82211,1275,7
118754,1035,5
43188,6539,4
50603,3994,7
88527,349,9
15529,5060,5
116298,5388,9
2657,32587,8
23311,4734,0
99781,1610,7
38251,3623,2
100371,1358,8
99871,2174,7
118106,1917,3
24816,3897,9
44241,5377,8
15720,4034,6
80361,6711,5
126134,1201,5
35227,4878,1
44296,8874,8
28771,4993,8
18415,788,5
3618,3897,5
38267,1302,7
10616,1393,8
48904,2657,7
12973,2167,7
5216,8961,7
132039,165,9
98494,32587,3
12793,58559,7
25478,3752,4
90938,4975,8
43188,6863,6
74289,4085,5
13431,3114,7
4129,2406,7
156,95,7
34395,1302,7
12793,33794,8
35004,2997,7
69793,8784,6
134497,110,7
98420,1370,6
34576,2539,5
114544,1370,4
68161,597,2
128893,1370,7
73213,2699,3
59373,5459,5
31712,44191,8
137037,1233,9
5768,39,3
7201,1729,9
135090,3108,5
86456,2617,7
59373,1393,7
130622,2953,1
62779,2023,7
35109,1968,8
122534,2167,9
14034,2628,3
127138,1246,8
22901,3081,7
34651,2858,9
6719,4018,5
79531,1092,7
62925,35836,6
98687,2407,5
33349,3863,3
27278,2291,7
82418,3702,1
122704,1193,9
49229,1552,7
134857,150,5
12644,4262,5
77156,541,5
44384,1380,7
137746,3753,5
76437,6,7
66049,910,8
74289,1101,3
19242,1690,5
16924,733,4
32861,2671,6
124163,1912,7
98597,1784,1
26867,1997,9
44576,1573,5
78740,858,9
91020,2019,9
12158,442,3
38267,2671,7
128503,3527,5
48929,150,6
10937,2407,2
22963,1909,4
63147,5669,5
76292,3608,3
60444,924,5
33575,2193,7
66533,628,7
87094,3175,4
42929,587,9
34651,485,5
34402,2617,6
55493,4558,5
104824,30707,5
24425,1584,7
104725,1266,6
48038,6502,8
32671,500,6
19305,590,7
15208,4718,0
88228,2012,5
775,2701,1
65401,1270,6
116361,4896,4
20372,1639,3
32344,8949,6
67527,1242,6
61495,5266,5
97860,5418,9
119048,3499,7
127063,1073,5
133133,2701,0
94976,1997,5
83959,509,0
91867,587,5
110255,1748,7
126184,25,7
26193,70,3
127450,2006,5
71928,34048,4
21078,1061,7
56720,344,7
127138,736,7
92637,454,5
133703,1573,6
66049,527,6
21391,1923,5
3513,1061,5
89299,2657,1
48465,2915,5
73611,8783,6
102262,4878,6
78728,4963,7
69426,2019,9
69378,4975,6
98865,593,3
12131,3448,6
68183,3994,8
118754,953,7
77385,553,9
6373,597,7
123817,2640,7
54459,1090,9
22352,5989,6
40008,2671,5
62984,474,7
119013,2616,3
10389,2716,7
77560,1673,7
75810,485,1
121381,2105,5
27531,3087,4
15781,1220,9
137686,4973,7
8152,2391,6
39099,2291,9
25511,5299,0
63643,4022,7
34770,1027,9
122134,1,6
74222,3623,2
50570,3785,0
87283,3949,9
113181,33794,7
103889,3755,3
28611,509,7
100254,1580,6
76540,2542,3
71928,1732,9
100669,6373,7
45983,180,5
8152,466,1
39382,3421,7
110706,5995,5
60361,8368,7
48033,165,5
52457,2000,7
120133,1393,9
76292,912,9
72517,196,6
115176,4558,6
33736,923,6
27007,924,9
113991,4011,6
114544,2012,3
96600,1089,7
53799,5266,8
66836,5945,7
67546,527,5
54693,4718,5
57056,1196,7
107579,5378,6
122364,5378,9
91349,589,7
122380,1120,7
26162,1259,4
119963,2193,9
118174,39,1
50943,1517,7
31404,2355,7
45619,6218,7
117259,780,7
23180,8798,7
106676,1196,5
32161,34,5
32984,466,5
67544,34,8
114805,1214,9
66362,8644,6
129159,1304,7
105756,1073,8
103654,2948,4
54113,466,7
94628,3421,9
123352,551,6
7036,1246,8
91626,4226,7
28195,1375,7
6636,50,9
28906,1485,7
4308,356,9
52685,4370,8
87283,10,3
11434,543,1
45015,784,6
118955,1358,6
1411,4370,8
89799,8874,7
35834,1597,6
98494,2716,3
13606,1258,5
41818,2616,9
106802,4720,8
135418,1240,6
109883,292,3
48110,33794,5
90583,1356,8
77247,1968,7
96750,49272,5
40483,1127,4
52457,2746,4
128233,1047,8
118848,1923,7
14678,32587,5
96600,4558,5
42204,1036,6
132187,1408,9
137202,318,8
37161,70,7
43661,539,6
42909,2124,5
